lattice_part:B,isCreatedFrom,material:AlSi10Mg
lattice_part:cube5,isCreatedFrom,material:Ti6Al4V
lattice_part:cube6,isCreatedFrom,material:Ti6Al4V
lattice_part:A2,isCreatedFrom,material:AlSi10Mg
lattice_part:tilt_bottom,isCreatedFrom,material:AlSi10Mg
lattice_part:C,isCreatedFrom,material:AlSi10Mg
lattice_part:cube1,isFabricatedWith,layer_thickness:0.025
lattice_part:cube1,isFabricatedWith,beam_diameter:150
lattice_part:cube1,isFabricatedWith,hatch_distance:0.105
lattice_part:cube1,isFabricatedWith,laser_power:180
lattice_part:cube1,isFabricatedWith,scan_speed:1.165
lattice_part:cube2,isFabricatedWith,layer_thickness:0.025
lattice_part:cube2,isFabricatedWith,beam_diameter:150
lattice_part:cube2,isFabricatedWith,hatch_distance:0.105
lattice_part:cube2,isFabricatedWith,laser_power:180
lattice_part:cube2,isFabricatedWith,scan_speed:1.165
lattice_part:cube3,isFabricatedWith,layer_thickness:0.025
lattice_part:cube3,isFabricatedWith,beam_diameter:150
lattice_part:cube3,isFabricatedWith,hatch_distance:0.105
lattice_part:cube3,isFabricatedWith,laser_power:180
lattice_part:cube3,isFabricatedWith,scan_speed:1.165
lattice_part:cube4,isFabricatedWith,layer_thickness:0.025
lattice_part:cube4,isFabricatedWith,beam_diameter:150
lattice_part:cube4,isFabricatedWith,laser_power:150
lattice_part:cube4,isFabricatedWith,scan_speed:0.7
lattice_part:cube4,isFabricatedWith,hatch_distance:0.105
lattice_part:bearing_support,isFabricatedWith,laser_power:350
lattice_part:bearing_support,isFabricatedWith,scan_speed:1.8
lattice_part:bearing_support,isFabricatedWith,hatch_distance:0.09
lattice_part:bearing_support,isFabricatedWith,layer_thickness:0.035
lattice_part:bearing_support,isFabricatedWith,beam_diameter:80
lattice_part:cube7,isFabricatedWith,layer_thickness:0.03
lattice_part:cube7,isFabricatedWith,energy_density:42.52
lattice_part:cube7,isFabricatedWith,laser_power:250
lattice_part:cube7,isFabricatedWith,scan_speed:1.4
lattice_part:A1,isFabricatedWith,beam_diameter:100
lattice_part:A1,isFabricatedWith,layer_thickness:0.03
lattice_part:A1,isFabricatedWith,scan_speed:1.3
lattice_part:A1,isFabricatedWith,laser_power:370
lattice_part:A1,isFabricatedWith,hatch_distance:0.19
lattice_part:B,isFabricatedWith,beam_diameter:100
lattice_part:B,isFabricatedWith,layer_thickness:0.03
lattice_part:B,isFabricatedWith,scan_speed:1.3
lattice_part:B,isFabricatedWith,laser_power:370
lattice_part:B,isFabricatedWith,hatch_distance:0.19
lattice_part:cube5,isFabricatedWith,laser_power:200
lattice_part:cube5,isFabricatedWith,hatch_distance:0.105
lattice_part:cube5,isFabricatedWith,scan_speed:1
lattice_part:cube5,isFabricatedWith,layer_thickness:0.025
lattice_part:cube5,isFabricatedWith,beam_diameter:150
lattice_part:cube6,isFabricatedWith,hatch_distance:0.105
lattice_part:cube6,isFabricatedWith,beam_diameter:100
lattice_part:cube6,isFabricatedWith,layer_thickness:0.03
lattice_part:cube6,isFabricatedWith,laser_power:200
lattice_part:cube6,isFabricatedWith,scan_speed:1
lattice_part:A2,isFabricatedWith,layer_thickness:0.03
lattice_part:A2,isFabricatedWith,beam_diameter:100
lattice_part:A2,isFabricatedWith,hatch_distance:0.19
lattice_part:A2,isFabricatedWith,scan_speed:1.3
lattice_part:A2,isFabricatedWith,laser_power:370
lattice_part:tilt_bottom,isFabricatedWith,layer_thickness:0.035
lattice_part:tilt_bottom,isFabricatedWith,beam_diameter:80
lattice_part:tilt_bottom,isFabricatedWith,hatch_distance:0.09
lattice_part:tilt_bottom,isFabricatedWith,laser_power:350
lattice_part:tilt_bottom,isFabricatedWith,scan_speed:1.8
lattice_part:C,isFabricatedWith,scan_speed:1.3
lattice_part:C,isFabricatedWith,laser_power:370
lattice_part:C,isFabricatedWith,layer_thickness:0.03
lattice_part:C,isFabricatedWith,beam_diameter:100
lattice_part:C,isFabricatedWith,hatch_distance:0.19
strut_diameter:0.8,limits,layer_thickness:0.025
material:AISI630,limits,layer_thickness:0.025
material:AISI630,limits,energy_density:58.9
strut_diameter:0.8,limits,beam_diameter:150
strut_length:5,limits,beam_diameter:150
downskin_angle:0,limits,beam_diameter:150
downskin_angle:90,limits,beam_diameter:150
beam_diameter:150,limits,hatch_distance:0.105
strut_diameter:0.6,limits,layer_thickness:0.025
strut_diameter:0.6,limits,beam_diameter:150
strut_length:3,limits,beam_diameter:150
strut_diameter:1,limits,layer_thickness:0.025
strut_diameter:1,limits,beam_diameter:150
cell_size:6,limits,beam_diameter:150
strut_diameter:1.3,limits,layer_thickness:0.025
material:AISI630,limits,layer_thickness:0.025
material:AISI630,limits,energy_density:81.6
strut_diameter:1.3,limits,beam_diameter:150
strut_length:10,limits,beam_diameter:150
strut_length:17.32,limits,beam_diameter:150
downskin_angle:35,limits,beam_diameter:150
material:AlSi10Mg,limits,energy_density:61.7
beam_diameter:80,limits,hatch_distance:0.09
strut_diameter:1.2,limits,beam_diameter:80
strut_length:3,limits,beam_diameter:80
downskin_angle:35,limits,beam_diameter:80
strut_diameter:1.2,limits,layer_thickness:0.035
material:AlSi10Mg,limits,layer_thickness:0.03
material:AlSi10Mg,limits,energy_density:42.52
